searchSpecies,lat_max,lat_min,lat_range,n,dd
Poa annua,-34.990944,-47.059722,12.068778000000002,678,2.8790430876431072
Polygala myrtifolia,-34.43043,-45.905137,11.474707000000002,338,1.8981204368992477
Pomaderris aspera,-36.6,-44.41052,7.810519999999997,104,2.1107088312135875
Populus alba,-34.500478,-46.415604,11.915126,410,1.561499270615274
Potamogeton crispus,-34.475833,-46.594752,12.118918999999998,990,1.6824057503535808
Prunus avium,-35.406159,-46.561725,11.155566,302,2.736816902886981
Prunus campanulata,-35.184875,-43.532793,8.347918,257,2.740763188985501
Prunus domestica,-35.21893,-46.561162,11.342232000000003,125,2.477820430445279
Prunus laurocerasus,-35.211439,-46.896696,11.685257,610,2.6828112018233865
Prunus lusitanica,-35.137527,-46.539332,11.401805000000003,166,2.80309701904748
Prunus serotina,-35.116667,-43.662029,8.545361999999997,45,2.8549742063929293
Prunus serrulata,-35.405335,-46.553006,11.147671000000003,319,2.861365853657686
Pseudotsuga menziesii,-35.3886,-46.6327,11.244100000000003,2780,2.812209562529981
Psidium cattleianum,-34.740841,-41.328062,6.5872209999999995,123,3.44855780375668
Psidium guajava,-35.116667,-36.911373,1.794705999999998,5,3.302086720225356
Pueraria montana,-36.099416,-37.655738,1.5563220000000015,14,1.9914663490056257
Pultenaea daphnoides,-34.807925,-36.934,2.126075,18,1.9066550455023177
Pyracantha angustifolia,-35.074906,-44.609703,9.534797000000005,79,2.6051999952277125
Quercus robur,-35.267947,-46.428695,11.160747999999998,413,2.6307828684138537
Reynoutria japonica,-36.238056,-45.86493,9.626874,161,1.4023858565584475
Rhamnus alaternus,-35.211517,-45.719388,10.507871000000002,468,3.044632828202047
Rhaphiolepis bibas,-34.741696,-43.656462,8.914766,725,2.456961054656002
Rhaphiolepis umbellata,-35.112537,-43.558895,8.446357999999996,208,1.8965321645663673
Rhododendron ponticum,-36.906195,-46.450395,9.544200000000004,77,1.061569701668453
Ribes sanguineum,-39.171558,-46.900028,7.7284700000000015,494,2.910701741861612
Ribes uva-crispa,-38.278039,-46.893979,8.615940000000002,308,2.7442610411847546
Ricinus communis,-34.814725,-46.603543,11.788818,265,2.9039895666836872
Robinia pseudoacacia,-35.035085,-45.890968,10.855882999999999,340,0.8348755702110622
Roldana petasitis,-34.816667,-43.81428,8.997612999999994,358,1.951462427605944
Rosa rubiginosa,-34.427625,-46.324064,11.896439,2013,2.7530326548344477
Rubus armeniacus,-35.277695,-44.829084,9.551389,58,1.8644978973576591
Rubus cardiophyllus,-38.05229,-45.4135,7.36121,20,1.8677848839246536
Rubus cissburiensis,-37.461195,-45.8,8.338805,76,1.879051768769343
Rubus echinatus,-38.638575,-45.86304,7.224464999999995,83,1.8965321645663673
Rubus laciniatus,-38.412778,-46.902541,8.489762999999996,241,1.8614621112896832
Rubus leptothyrsos,-41.418731,-46.584543,5.165811999999995,26,1.8965321645663673
Rubus phoenicolasius,-36.722426,-45.028509,8.306083000000001,205,2.9326543190693672
Rubus polyanthemus,-36.352468,-46.429807,10.077338999999995,15,1.8690678281036344
Rubus ulmifolius,-35.359003,-46.614306,11.255302999999998,119,1.873522663805489
Rubus vestitus,-36.7935,-46.498481,9.704980999999997,65,1.8965321645663673
Rumex sagittatus,-34.966986,-44.933241,9.966255000000004,829,1.0374493571610666
Sagina procumbens,-34.429722,-47.045477,12.615755,932,2.0129120830679663
Salix cinerea,-35.102561,-46.602139,11.499578,973,3.844975230056352
Salix purpurea,-35.212444,-46.900595,11.688151000000005,171,2.69119082480336
Salpichroa origanifolia,-35.316667,-43.540319,8.223651999999994,157,2.131350566182744
Sambucus nigra,-35.13817,-46.950562,11.812391999999996,2055,3.041998651738945
