model_number,species,order,family,ds,log10mdd_family,log10mdd_order,log10mdd,log10mdd_best,,,,,,,,,,,,,,,,,,
2,Glaucium flavum,Ranunculales,Papaveraceae,wind.none,-0.075819854,-0.218874515,-0.508316984,-0.075819854,,,,,,,,,,,,,,,,,,
2,Phytolacca icosandra,Caryophyllales,Phytolaccaceae,animal,NA,2.718212406,2.756166727,2.718212406,,,,,,,,,,,,,,,,,,
2,Pinus contorta,Pinales,Pinaceae,wind.special,2.822089106,2.536847611,2.676201945,2.822089106,,,,,,,,,,,,,,,,,,
2,Pinus halepensis,Pinales,Pinaceae,wind.special,2.529457769,2.244216274,2.262220868,2.529457769,,,,,,,,,,,,,,,,,,
2,Pinus monticola,Pinales,Pinaceae,wind.special,2.651119657,2.365878162,2.441851673,2.651119657,,,,,,,,,,,,,,,,,,
2,Pinus mugo,Pinales,Pinaceae,wind.special,2.443974185,2.15873269,1.971438372,2.443974185,,,,,,,,,,,,,,,,,,
2,Pinus mugo,Pinales,Pinaceae,animal,3.617423176,3.332181681,2.99305855,3.617423176,,,,,,,,,,,,,,,,,,
2,Pinus muricata,Pinales,Pinaceae,wind.special,2.613426943,2.328185448,2.380885553,2.613426943,,,,,,,,,,,,,,,,,,
2,Pinus nigra,Pinales,Pinaceae,wind.special,2.693318367,2.408076872,2.502159033,2.693318367,,,,,,,,,,,,,,,,,,
2,Pinus patula,Pinales,Pinaceae,wind.special,2.678430451,2.393188956,2.477893813,2.678430451,,,,,,,,,,,,,,,,,,
2,Pinus pinaster,Pinales,Pinaceae,wind.special,2.577355887,2.292114392,2.342379111,2.577355887,,,,,,,,,,,,,,,,,,
2,Pinus ponderosa,Pinales,Pinaceae,wind.special,2.673280591,2.388039095,2.48211338,2.673280591,,,,,,,,,,,,,,,,,,
2,Pinus radiata,Pinales,Pinaceae,wind.special,2.646882027,2.361640532,2.440779418,2.646882027,,,,,,,,,,,,,,,,,,
2,Pinus strobus,Pinales,Pinaceae,wind.special,2.733184499,2.447943004,2.561128294,2.733184499,,,,,,,,,,,,,,,,,,
2,Pinus sylvestris,Pinales,Pinaceae,wind.special,2.763444095,2.4782026,2.593854759,2.763444095,,,,,,,,,,,,,,,,,,
2,Pinus sylvestris,Pinales,Pinaceae,animal,3.936893086,3.651651591,3.615474937,3.936893086,,,,,,,,,,,,,,,,,,
2,Pinus thunbergii,Pinales,Pinaceae,wind.special,2.538792927,2.253551432,2.271203354,2.538792927,,,,,,,,,,,,,,,,,,
2,Pinus uncinata,Pinales,Pinaceae,wind.special,2.398196875,2.11295538,2.056824576,2.398196875,,,,,,,,,,,,,,,,,,
2,Pseudotsuga menziesii,Pinales,Pinaceae,wind.special,2.812209563,2.526968067,2.672671578,2.812209563,,,,,,,,,,,,,,,,,,
2,Pittosporum undulatum,Apiales,Pittosporaceae,animal,NA,3.158053085,3.343647545,3.158053085,,,,,,,,,,,,,,,,,,
2,Digitalis purpurea,Lamiales,Plantaginaceae,wind.none,0.312482769,0.216281974,0.392080273,0.312482769,,,,,,,,,,,,,,,,,,
2,Digitalis purpurea,Lamiales,Plantaginaceae,animal,2.760389706,2.664188911,2.781534285,2.760389706,,,,,,,,,,,,,,,,,,
2,Agrostis capillaris,Poales,Poaceae,animal,3.205694903,2.749636727,2.548222491,3.205694903,,,,,,,,,,,,,,,,,,
2,Agrostis capillaris,Poales,Poaceae,wind.none,0.757787966,0.30172979,0.158768479,0.757787966,,,,,,,,,,,,,,,,,,
2,Bromus tectorum,Poales,Poaceae,animal,2.795704995,2.339646819,1.98439423,2.795704995,,,,,,,,,,,,,,,,,,
2,Bromus tectorum,Poales,Poaceae,wind.none,0.347798058,-0.108260119,-0.405059781,0.347798058,,,,,,,,,,,,,,,,,,
2,Cenchrus setaceus,Poales,Poaceae,wind.special,1.722716062,1.266657885,1.104395092,1.722716062,,,,,,,,,,,,,,,,,,
2,Cenchrus setaceus,Poales,Poaceae,animal,2.896165053,2.440106876,2.126015271,2.896165053,,,,,,,,,,,,,,,,,,
2,Cynodon dactylon,Poales,Poaceae,animal,2.942765522,2.486707345,2.17531938,2.942765522,,,,,,,,,,,,,,,,,,
2,Cynodon dactylon,Poales,Poaceae,wind.none,0.494858584,0.038800408,-0.214134631,0.494858584,,,,,,,,,,,,,,,,,,
2,Dactylis glomerata,Poales,Poaceae,wind.none,0.551609169,0.095550993,-0.118714137,0.551609169,,,,,,,,,,,,,,,,,,
2,Dactylis glomerata,Poales,Poaceae,animal,2.999516107,2.54345793,2.270739874,2.999516107,,,,,,,,,,,,,,,,,,
2,Ehrharta erecta,Poales,Poaceae,wind.none,0.474854408,0.018796232,-0.231751429,0.474854408,,,,,,,,,,,,,,,,,,
2,Ehrharta erecta,Poales,Poaceae,animal,2.922761345,2.466703169,2.157702582,2.922761345,,,,,,,,,,,,,,,,,,
