model_number,species,order,family,ds,log10mdd_family,log10mdd_order,log10mdd,log10mdd_best,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID
2,Centranthus ruber,Dipsacales,Caprifoliaceae,wind.special,0.6720672552091668,0.8808370980497326,1.03498571944522,0.6720672552091668,NA,herb,0.8,NA,NA,NA,dry,plumed seed,0.00177,wind,NA,NA,NA,NA,NA,"Burrows 1986, cited in SID",NA,Wind dispersed - Assumption based upon diaspore morphology,NA,NA,2022-06-03T00:00:00Z,NA,2022-06-20T00:00:00Z
2,Leycesteria formosa,Dipsacales,Caprifoliaceae,animal,2.9874717931870403,3.1962416360276062,3.149699468516351,2.9874717931870403,NA,shrub,2,"NZ Flora Online: bank, clay, cliff, dry, forest, forest edge, gap, gully, hill, lowland, margin, moist, open, pasture, riparian, roadside, rock outcrop, sand, scrubland, sheltered, shrubland, silt, slope, stone, track, unstable/eroded, wasteland. NZPCN: A plant of coastal and lowland habitats (Timmins & MacKenzie 1995). The plant occurs in streams and favours damper habitats (Veitch 1995; Department of Conservation 1996). A plant of streams, shrublands, light gaps in forests (such as windfall gaps), roadsides, exotic plantations, farm hedges and wasteland habitats (Veitch 1995; Department of Conservation 1996). A plant of scrub and forest margin, shrubland and riverbed communities (Timmins & MacKenzie 1995).",riparian,berry,fleshy,fleshy,3e-4,internal,NA,NA,NA,NA,NA,Webb et al. 1988; Williams & Karl 1996; Atkinson 1997; Spurr et al. 2011,bird-dispersed (Atkinson 1997); bellbirds eat fruits (Spurr et al. 2011),NA,NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z
2,Sagina procumbens,Caryophyllales,Caryophyllaceae,animal,2.0129120830679663,1.9430603717302768,2.1206225900651416,2.0129120830679663,NA,herb,0.1,NZPCN: damp sites,NA,capsule,dry,hard seed coat,2e-5,internal,wind.none,NA,NA,NA,NA,Rosenthal 2006; Albert et al. 2015,NA,"short distance wind dispersal; endochorous, hard seed coat, without pulp (Rosenthal 2006); seeds dispersal internally by deer (Albert et al. 2015).",NA,NA,2022-06-09T00:00:00Z,45058,2022-06-23T00:00:00Z
2,Sagina procumbens,Caryophyllales,Caryophyllaceae,wind.none,-0.4349948543378149,-0.5048465656755043,-0.26883142110934233,-0.4349948543378149,NA,herb,0.1,NZPCN: damp sites,NA,capsule,dry,hard seed coat,2e-5,internal,wind.none,NA,NA,NA,NA,Rosenthal 2006; Albert et al. 2015,NA,"short distance wind dispersal; endochorous, hard seed coat, without pulp (Rosenthal 2006); seeds dispersal internally by deer (Albert et al. 2015).",NA,NA,2022-06-09T00:00:00Z,45058,2022-06-23T00:00:00Z
2,Casuarina glauca,Fagales,Casuarinaceae,wind.special,NA,2.224196045158053,2.4803561861384935,2.224196045158053,NA,tree,15,NA,NA,cone,dry,winged seed,0.003,wind,NA,NA,NA,NA,NA,NA,NA,Casuarina equisetifolia: wind likely seed dispersaL vector (Shiels 2011),dispersal based on seed morphology,NA,2022-06-03T00:00:00Z,NA,2022-06-20T00:00:00Z
2,Celastrus orbiculatus,Celastrales,Celastraceae,animal,NA,NA,3.2718152514792473,3.2718152514792473,vine,tree,12,"NZ Flora Online: bank, clay, dry, forest, gap, gravel, hill, loam, lowland, margin, open, ridge, riparian, roadside, rock outcrop, sand, shaded, sheltered, shrubland, slope, stone, terrace, wasteland. NZPCN: climbs on rocks and trees and sometimes covers the ground and vegetation (Hutchison 2000)",riparian,aril,fleshy,fleshy,0.01048,internal,NA,NA,NA,NA,NA,Williams & Timmins 2003,seed is spread by birds (NZPCN),seeds dispersed by birds in North America.,NA,NA,2023-06-16T00:00:00Z,45093,2023-06-16T00:00:00Z
2,Euonymus europaeus,Celastrales,Celastraceae,animal,NA,NA,2.7740315663970385,2.7740315663970385,shrub-tree,shrub,6,"NZ Flora Online: bank, clay, coast, dry, forest, forest edge, gap, hill, lake margin, lowland, margin, moist, open, pasture, riparian, roadside, sand, shaded, sheltered, shrubland, silt, slope, stone, terrace, wasteland, wetland",riparian,aril,fleshy,fleshy,0.038950000000000005,internal,NA,NA,NA,NA,NA,Webb et al. 1988; Burrows 1995; Williams & Karl 1996,"Fruits are bird-dispersed and, as a result, seedlings often appear spontaneously within gardens (Webb et al. 1988). Seeds dispersed by silvereyes (Williams & Karl 1996; Henderson unpubl. data). Bird dispersed (Burrows 1995).",England: fruits are eaten by blackbird & occasionally song thrush; also eaten by other bird species (Snow & Snow 1988).,NA,NA,2022-06-07T00:00:00Z,NA,2023-06-16T00:00:00Z
2,Euonymus japonicus,Celastrales,Celastraceae,animal,NA,NA,2.852013678655353,2.852013678655353,shrub-tree,shrub,7,"NZ Flora Online: bank, clay, coast, dry, loam, lowland, open, roadside, sand, shaded, sheltered, shrubland, slope, stone, terrace, unstable/eroded",NA,aril,fleshy,fleshy,0.029670000000000002,internal,NA,NA,NA,NA,NA,Ando et al. 2022,Euonymus europaeus seeds dispersed by birds (Webb et al. 1988; Williams & Karl 1996),viable seeds in pigeon faeces in Japan (Ando et al. 2022),NA,NA,2022-06-07T00:00:00Z,NA,2023-06-16T00:00:00Z
2,Maytenus boaria,Celastrales,Celastraceae,animal,NA,NA,3.0437895191246263,3.0437895191246263,shrub-tree,shrub,10,"understorey of open native bush, among scrub and grasses (Heenan et al. 1999)",NA,capsule,fleshy,arillate seed,0.01455,internal,NA,NA,NA,NA,NA,NZPCN,bird dispersed (NZPCN),NA,NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z
2,Cornus capitata,Cornales,Cornaceae,animal,NA,NA,2.916368801388308,2.916368801388308,NA,tree,6,"NZ Flora Online: margin, roadside",NA,drupe,fleshy,fleshy,0.036899999999999995,internal,NA,NA,NA,NA,NA,Webb et al. 1988; Spurr et al. 2011,has probably become naturalised by spread of bird-dispersed fruits from garden plants (Webb et al. 1988); fruit eaten by bellbirds (Spurr et al. 2011),NA,NA,NA,2022-06-03T00:00:00Z,NA,2023-06-16T00:00:00Z
2,Cotyledon orbiculata,Saxifragales,Crassulaceae,wind.none,NA,NA,0.7645179290621058,0.7645179290621058,NA,shrub,0.5,"NZ Flora Online: bank, cliff, coast, dry, grassland, hill, open, pasture, roadside, rock outcrop, sand, scree, shrubland, slope, wasteland; NZPCN: dry coastal bluffs. Coastal slopes and beaches, often on steep banks, rocky outcrops, cliff faces and bare ledges, sometimes in low scrub and dry depleted grassland (Webb et al 1988).",NA,follicle,dry,dust seeds,2e-5,wind.none,NA,NA,NA,NA,NA,"van Rheede van Oudtshoorn & van Rooyen 1999, cited in SID",NA,"Wind; Diaspore is blown by wind; Method not stated; (van Rheede van Oudtshoorn & van Rooyen, 1999, cited in SID); Diaspore=seed. The seed is small or very small (dust seeds).",NA,NA,2022-06-03T00:00:00Z,45035,2022-06-20T00:00:00Z
2,Sedum acre,Saxifragales,Crassulaceae,animal,NA,NA,1.9979154572941846,1.9979154572941846,NA,herb,0.09,"NZ Flora online: bank, cliff, coast, dry, gravel, open, ridge, roadside, rock outcrop, slope, stone, track; A plant that grows on gravel, shingle, sand, rocks and most light porous substrates from sea level to nearly 1500m (Webb et. al. 1988). A plant of coastal cliffs, behind beaches, on walls and banks, roadsides, riverbeds, railway tracks and embankments and waste places in and around settlements (Webb et. al. 1988)",riparian,follicle,dry,dust seeds,4e-5,internal,wind.none,NA,NA,NA,NA,Esler 1988; Rosenthal 2006; Eichberg et al. 2007; Albert et al. 2015,very small (dust) seed weighing <0.1 mg (Esler 1988),"Water; Wetting by rain or dew; Direct or experimental observation; (van der Pijl, 1982); Unassisted dispersal also occurs. Diaspore=seed. The structure that contains the diaspores opens when wet. Fruits open when wetted by rain, dispersal is then unassisted. Short distance wind dispersal (Rosenthal 2006). Seeds dispersed internally by deer (sometimes; Albert et al. 2015); viable seeds dispersed in sheep faeces (Eichberg et al. 2007).",NA,NA,2022-06-09T00:00:00Z,NA,2022-06-23T00:00:00Z
2,Sedum acre,Saxifragales,Crassulaceae,wind.none,NA,NA,-0.3915385538802998,-0.3915385538802998,NA,herb,0.09,"NZ Flora online: bank, cliff, coast, dry, gravel, open, ridge, roadside, rock outcrop, slope, stone, track; A plant that grows on gravel, shingle, sand, rocks and most light porous substrates from sea level to nearly 1500m (Webb et. al. 1988). A plant of coastal cliffs, behind beaches, on walls and banks, roadsides, riverbeds, railway tracks and embankments and waste places in and around settlements (Webb et. al. 1988)",riparian,follicle,dry,dust seeds,4e-5,internal,wind.none,NA,NA,NA,NA,Esler 1988; Rosenthal 2006; Eichberg et al. 2007; Albert et al. 2015,very small (dust) seed weighing <0.1 mg (Esler 1988),"Water; Wetting by rain or dew; Direct or experimental observation; (van der Pijl, 1982); Unassisted dispersal also occurs. Diaspore=seed. The structure that contains the diaspores opens when wet. Fruits open when wetted by rain, dispersal is then unassisted. Short distance wind dispersal (Rosenthal 2006). Seeds dispersed internally by deer (sometimes; Albert et al. 2015); viable seeds dispersed in sheep faeces (Eichberg et al. 2007).",NA,NA,2022-06-09T00:00:00Z,NA,2022-06-23T00:00:00Z
2,Bryonia cretica,Cucurbitales,Cucurbitaceae,animal,NA,NA,2.8493177801722536,2.8493177801722536,vine,shrub,6,"NZPCN: Disturbed and open forest and shrubland, stream edges",riparian,berry,fleshy,fleshy,0.02247,internal,NA,NA,NA,NA,NA,NZPCN; Snow & Snow 1988,Seed dispersed by birds (NZPCN),"England: fruits eaten by blackbird, song thrush & other bird species (Snow & Snow 1988). Czechoslovakia: fruits eaten by starling (Snow & Snow 1988).",NA,NA,NA,45093,2023-06-16T00:00:00Z
2,Carex demissa,Poales,Cyperaceae,animal,2.16621277035956,2.3118748815512484,1.9263338108941968,2.16621277035956,NA,herb,0.3,"NZPCN: Water body margins, swamps, damp waste places and low-lying areas",riparian,nut,dry,air-filled vesicle,6.9e-4,water,internal,NA,NA,NA,NA,Rosenthal 2006,NA,"hydrochorous - air-filled vesicle; dysochorous, lost food (Rosenthal 2006); C. hispida: (RBG Kew, Wakehurst Place); diaspore=entire fruit. The seed has ""air bag"" of fused bracts. C. pedunculata: Animal; Diaspore is carried intentionally; Direct or experimental observation; (van der Pijl, 1982); Ants.; Diaspore=seed. The seed has an elaiosome. C. pilulifera: Animal; Diaspore is carried intentionally; Method not stated; (Bouman et al., 2000); Ants. C. hirta & C. praecox: seeds germinated from sheep faeces (Eichberg et al. 2007)",NA,NA,2022-06-03T00:00:00Z,45034,2022-06-20T00:00:00Z
2,Carex flacca,Poales,Cyperaceae,animal,2.2308159534571756,2.376478064648864,2.0249636125306942,2.2308159534571756,NA,herb,0.5,NA,NA,nut,dry,none,9e-4,attachment,internal,water,NA,NA,NA,Healy & Edgar 1980; Albert et al. 2015,"""Fruits lack characters assisting dispersal, most falling close to the parent plants: longer distance dispersal sometimes occurs when fruit is carried on animal coats, in mud in hooves, by run-off water on slopes, or in drains and streams"" (Healy & Edgar 1980). Carex longebrachiata has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg) (Esler 1988).",seeds dispersed internally by deer (sometimes; Albert et al. 2015); C. hirta & C. praecox: seeds germinated from sheep faeces (Eichberg et al. 2007),NA,NA,2022-06-03T00:00:00Z,NA,2022-06-20T00:00:00Z
2,Carex leporina,Poales,Cyperaceae,animal,2.2991759406879186,2.444838051879607,2.1219594392695296,2.2991759406879186,NA,herb,0.6,"NZPCN: Wide variety of wet habitats from lowland to subalpine, especially disturbed habitats, but also a problem weed in short turf wetland where it can completely displace indigenous vegetation",NA,nut,dry,none,6.3e-4,internal,NA,NA,NA,NA,NA,NZPCN,Seed dispersed by contaminated machinery or waterfowl (NZPCN factsheet prepared by prepared by Paul Champion and Deborah Hofstra (NIWA)); Carex longebrachiata has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg) (Esler 1988).,C. hirta & C. praecox: seeds germinated from sheep faeces (Eichberg et al. 2007),attachment or internal,NA,2022-06-03T00:00:00Z,45034,2022-06-20T00:00:00Z
2,Carex longebrachiata,Poales,Cyperaceae,wind.none,-0.17589079249374087,-0.030228681302052196,-0.2961995905253565,-0.17589079249374087,NA,herb,0.9,"NZ Flora Online: bank, clay, coast, dry, flat , hill, lowland, open, pasture, sand, scrubland, sheltered, shrubland, slope, stone, terrace; NZPCN: grassland",NA,nut,dry,none,0.0017,wind.none,attachment,NA,NA,NA,NA,Molloy et al. 1967,has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg) (Esler 1988); The seed is dispersed by gravity and livestock (NZPCN); Molloy et al. 1967: The seed of Australian sedge is relatively heavy and the utricle is not endowed with special mechanisms to assist dispersal. Most of the seed shed falls within 12 in. from the edge of the canopy. Some is carried for longer distances by strong gusts of wind or on the feet of livestock.,C. hirta & C. praecox: seeds germinated from sheep faeces (Eichberg et al. 2007),NA,NA,2022-06-03T00:00:00Z,45034,2022-06-20T00:00:00Z
2,Carex longebrachiata,Poales,Cyperaceae,animal,2.2720161449120404,2.417678256103729,2.0932544206491275,2.2720161449120404,NA,herb,0.9,"NZ Flora Online: bank, clay, coast, dry, flat , hill, lowland, open, pasture, sand, scrubland, sheltered, shrubland, slope, stone, terrace; NZPCN: grassland",NA,nut,dry,none,0.0017,wind.none,attachment,NA,NA,NA,NA,Molloy et al. 1967,has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg) (Esler 1988); The seed is dispersed by gravity and livestock (NZPCN); Molloy et al. 1967: The seed of Australian sedge is relatively heavy and the utricle is not endowed with special mechanisms to assist dispersal. Most of the seed shed falls within 12 in. from the edge of the canopy. Some is carried for longer distances by strong gusts of wind or on the feet of livestock.,C. hirta & C. praecox: seeds germinated from sheep faeces (Eichberg et al. 2007),NA,NA,2022-06-03T00:00:00Z,45034,2022-06-20T00:00:00Z
2,Carex lurida,Poales,Cyperaceae,animal,2.3101921726867007,2.4558542838783892,2.145327571269674,2.3101921726867007,NA,herb,0.9,"Lowland swamps, roadside drains",NA,nut,dry,none,0.0011619999999999998,internal,NA,NA,NA,NA,NA,NZPCN,"Seed dispersed by contaminated machinery or waterfowl (NZPCN, factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)); Carex longebrachiata has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg) (Esler 1988).",C. hirta & C. praecox: seeds germinated from sheep faeces (Eichberg et al. 2007),attachment or internal,NA,2022-06-03T00:00:00Z,45034,2022-06-20T00:00:00Z
2,Carex scoparia,Poales,Cyperaceae,animal,2.408270370701452,2.5539324818931406,2.279108927673755,2.408270370701452,NA,herb,0.9,NZPCN: Swamps and lake margins,NA,nut,dry,none,4.372e-4,internal,NA,NA,NA,NA,NA,NZPCN,Seed dispersed by contaminated machinery or waterfowl (NZPCN factsheet prepared by prepared by Paul Champion and Deborah Hofstra (NIWA)),C. hirta & C. praecox: seeds germinated from sheep faeces (Eichberg et al. 2007),attachment or internal,NA,2022-06-03T00:00:00Z,45034,2022-06-20T00:00:00Z
2,Cyperus eragrostis,Poales,Cyperaceae,animal,2.5379934130602817,2.68365552425197,2.456054721080543,2.5379934130602817,sedge,herb,0.9,"NZ Flora Online:  bank, coast, forest edge, grassland, gravel, lake margin, lava, lowland, margin, moist, open, pasture, riparian, roadside, sand, shaded, sheltered, silt, stone, terrace, track, wasteland, wetland; NZPCN: Wet areas such as the banks of rivers and streams, swamps, ditches.",riparian,nut,dry,none,1.1999999999999999e-4,internal,NA,NA,NA,NA,NA,Reynolds & Cumming 2016,Seed dispersed by contaminated machinery (NZPCN factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).,"Seeds found in water bird droppings (Reynolds & Cumming 2016); C. mutisii: Unassisted; Seeds drop to the ground close to or beneath the parent plant; Direct or experimental observation; (Vazquez & Givnish, 1998, cited in Kew SID); C. iria: viable seeds found in waterfowl (incl. mallard) faeces (Reynolds et al. 2015); undefined seed dispersal morphology (McIntyre et al. 1995)",habitat includes banks of rivers and streams,NA,2022-06-03T00:00:00Z,NA,NA
2,Schoenoplectus californicus,Poales,Cyperaceae,animal,2.5790502194279776,2.724712330619666,2.536826829421887,2.5790502194279776,sedge,herb,3,NZPCN: Coastal river banks and estuaries,riparian,nut,aquatic,bristles on seeds,6.8e-4,attachment,NA,NA,NA,NA,NA,NZPCN,"Seed is viable, but seedlings have not been observed in the field. Movement of rhizome fragments by water is likely to be a major dispersal mechanism (de Lange et al. 1998). Seed is long-lived, the surrounding bristles readily attach themselves to feathers, fur and clothing (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).","S. acutus dispersed by hydrochory, viable seeds sampled from water (Kehr et al 2014)",NA,NA,2022-06-09T00:00:00Z,45058,2023-05-12T00:00:00Z
2,Calluna vulgaris,Ericales,Ericaceae,wind.none,0.7384246519007439,0.7013491759810728,0.7090260890168278,0.7384246519007439,NA,shrub,0.5,"NZ Flora Online: alpine, bank, clay, coast, dry, forest, grassland, gravel, hill, margin, moist, montane, open, pasture, peat, ridge, roadside, rock outcrop, sand, shrubland, slope, stone, terrace, track, tussockland, wasteland; NZPCN: A plant of montane, subalpine and alpine habitats. The plant grows in sites of low - moderate fertility. Plant found in scrub and forest margin, shrubland, tall and short tussockland, herbfields, riverbeds, wetlands, alpine gravel fields, dune slacks and road edges.",riparian,capsule,dry,none,2.9999999999999997e-5,wind.none,internal,attachment,NA,NA,"91.3% of seeds dispersed within 0.8m of plant centre, maximum distance 80m rare events",Timmins & Mackenzie 1995; Bullock & Clarke 2000; Mouissie et al. 2005; Albert et al. 2015,"gravity, wind dispersal; seed dispersal calculated at 100 m in winds of 10 m/s & 250 m in 30-40 m/s (Timmins & Mackenzie 1995)","wind dispersed, measured dispersal distances using seed traps around isolated plants (Bullock & Clarke 2000); seeds dispersed by deer internally (sometimes) and in fur and on hooves (sometimes; Albert et al. 2015); seeds attached to experimental sheep and cattle dummies (Mouissie et al. 2005)","water dispersal deleted, no reference for this",NA,2022-06-03T00:00:00Z,45034,2022-06-20T00:00:00Z
2,Calluna vulgaris,Ericales,Ericaceae,animal,3.186331589306525,3.149256113386854,3.098480100191312,3.186331589306525,NA,shrub,0.5,"NZ Flora Online: alpine, bank, clay, coast, dry, forest, grassland, gravel, hill, margin, moist, montane, open, pasture, peat, ridge, roadside, rock outcrop, sand, shrubland, slope, stone, terrace, track, tussockland, wasteland; NZPCN: A plant of montane, subalpine and alpine habitats. The plant grows in sites of low - moderate fertility. Plant found in scrub and forest margin, shrubland, tall and short tussockland, herbfields, riverbeds, wetlands, alpine gravel fields, dune slacks and road edges.",riparian,capsule,dry,none,2.9999999999999997e-5,wind.none,internal,attachment,NA,NA,"91.3% of seeds dispersed within 0.8m of plant centre, maximum distance 80m rare events",Timmins & Mackenzie 1995; Bullock & Clarke 2000; Mouissie et al. 2005; Albert et al. 2015,"gravity, wind dispersal; seed dispersal calculated at 100 m in winds of 10 m/s & 250 m in 30-40 m/s (Timmins & Mackenzie 1995)","wind dispersed, measured dispersal distances using seed traps around isolated plants (Bullock & Clarke 2000); seeds dispersed by deer internally (sometimes) and in fur and on hooves (sometimes; Albert et al. 2015); seeds attached to experimental sheep and cattle dummies (Mouissie et al. 2005)","water dispersal deleted, no reference for this",NA,2022-06-03T00:00:00Z,45034,2022-06-20T00:00:00Z
2,Erica cinerea,Ericales,Ericaceae,wind.none,0.4983534155483359,0.4612779396286648,0.37105304244755755,0.4983534155483359,NA,shrub,0.3,NZPCN: Low stature shrub and tussock communities,NA,capsule,dry,none,0.00013220000000000001,wind.none,attachment,internal,NA,NA,"90.4% of seeds dispersed within 0.8m from centre of plant, maximum distance 80m rare events",Bullock & Clarke 2000; Albert et al. 2015,Esler 1988 says unspecialised,"wind dispersed, measured dispersal distances using seed traps around isolated plants (Bullock & Clarke 2000); seeds dispersed by deer internally (sometimes) and attached to fur (always) and hooves (sometimes; Albert et al. 2015).",NA,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z
2,Erica cinerea,Ericales,Ericaceae,animal,2.9462603529541167,2.9091848770344457,2.760507053622042,2.9462603529541167,NA,shrub,0.3,NZPCN: Low stature shrub and tussock communities,NA,capsule,dry,none,0.00013220000000000001,wind.none,attachment,internal,NA,NA,"90.4% of seeds dispersed within 0.8m from centre of plant, maximum distance 80m rare events",Bullock & Clarke 2000; Albert et al. 2015,Esler 1988 says unspecialised,"wind dispersed, measured dispersal distances using seed traps around isolated plants (Bullock & Clarke 2000); seeds dispersed by deer internally (sometimes) and attached to fur (always) and hooves (sometimes; Albert et al. 2015).",NA,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z
2,Erica lusitanica,Ericales,Ericaceae,wind.none,1.0780317276747802,1.0409562517551092,1.2007798925553355,1.0780317276747802,NA,shrub,2,"NZ Flora Online: alpine, bank, clay, coast, dry, flat, forest, gap, grassland, gravel, gully, hill, log, lowland, margin, moist, open, pasture, peat, ridge, roadside, sand, shrubland, silt, slope, stone, terrace, track, tussockland, wasteland, wetland",NA,capsule,dry,none,1.2e-5,wind.none,NA,NA,NA,NA,NA,Mather & Williams 1990; Cronk & Fuller 1995,has no active structures aiding active dispersal and very small (dust) seeds weighing <0.1 mg (Esler 1988); seeds are released gradually as capsules are shaken gently by wind or passing animals (Mather & Williams 1990).,wind dispersed (Cronk & Fuller 1995),NA,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z
2,Rhododendron ponticum,Ericales,Ericaceae,wind.none,1.0615697016684533,1.0244942257487824,1.2009271371880272,1.0615697016684533,NA,shrub,6,"NZ Flora Online: bank, clay, dry, fernland, forest, forest edge, hill, lowland, margin, moist, open, ridge, roadside, sand, shaded, sheltered, shrubland, slope, stone",NA,capsule,dry,seed hairy,1e-4,wind.none,NA,NA,NA,NA,"97.1% of seeds found up to 10m  from release point, 0.1% of seeds dispersed to at least 100m (Stephenson et al. 2007)",Ridley 1930; Cronk & Fuller 1995; Stephenson et al. 2007; Harris et al. 2009,NA,"small, light seeds dispersed efficiently by wind (Cronk & Fuller 1995); Seeds dispersed primarily by wind (Stephenson et al. 2007; Harris et al. 2009); Wind; Diaspore is blown by wind; Method not stated; (Ridley, 1930, cited in SID); Diaspore=seed. The diaspore is hairy or has hair-like processes.",NA,NA,2022-06-08T00:00:00Z,NA,2022-06-23T00:00:00Z
2,Homalanthus populifolius,Malpighiales,Euphorbiaceae,animal,3.2027938377426532,3.174412046432048,2.806477324331467,3.2027938377426532,shrub-tree,shrub,5,"NZ Flora Online: bank, clay, coast, dry, loam, lowland, margin, open, pasture, roadside, sand, shaded, sheltered, shrubland, slope, stone, terrace, wasteland",NA,NA,fleshy,fleshy aril,0.02161,internal,ant,water,NA,NA,NA,Innis 1989; Forester 1996; Berg 1975; NZPCN,"Bird dispersed (Lisa Forester 1996). Other methods of movement include gravity, water and machinery especially roadside mowers (Tony McCluggage pers. comm.).","Dispersed by pigeons in Australia (Innis 1989). The fruit is eaten by a variety of birds, including Brown Cuckoo Dove, Silvereye and Lewin's Honeyeater (Wikipedia). Ant dispersal based on morphology (Berg 1975)",NA,NA,2022-06-08T00:00:00Z,NA,2023-06-19T00:00:00Z
2,Homalanthus populifolius,Malpighiales,Euphorbiaceae,ant,2.108874518263734,2.080492726953129,2.0933048561658145,2.108874518263734,shrub-tree,shrub,5,"NZ Flora Online: bank, clay, coast, dry, loam, lowland, margin, open, pasture, roadside, sand, shaded, sheltered, shrubland, slope, stone, terrace, wasteland",NA,NA,fleshy,fleshy aril,0.02161,internal,ant,water,NA,NA,NA,Innis 1989; Forester 1996; Berg 1975; NZPCN,"Bird dispersed (Lisa Forester 1996). Other methods of movement include gravity, water and machinery especially roadside mowers (Tony McCluggage pers. comm.).","Dispersed by pigeons in Australia (Innis 1989). The fruit is eaten by a variety of birds, including Brown Cuckoo Dove, Silvereye and Lewin's Honeyeater (Wikipedia). Ant dispersal based on morphology (Berg 1975)",NA,NA,2022-06-08T00:00:00Z,NA,2023-06-19T00:00:00Z
2,Ricinus communis,Malpighiales,Euphorbiaceae,ballistic,1.3015588816626338,1.2731770903520288,0.966078787485983,1.3015588816626338,NA,shrub,4,"NZ Flora Online:  bank, cliff, coast, hill, lowland, margin, open, roadside, rock outcrop, sand, shrubland, terrace, wasteland",NA,capsule,dry,"explosively dehiscent capsule, elaiosome, spiny capsule",0.2854,ballistic,ant,attachment,internal,NA,NA,Smith 1985; Pemberton & Irving 1990; Cronk & Fuller 1995; Martins et al. 2006,has no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988).,"Primarily dispersed ballistically, then by ants (Martins et al. 2006); mammal & bird dispersed by attachment (Cronk & Fuller 1995); rodents and granivorous birds may disperse some seeds (Smith 1985). Seed has an elaiosome (Pemberton & Irving 1990).",NA,NA,2022-06-08T00:00:00Z,NA,2022-06-23T00:00:00Z
2,Ricinus communis,Malpighiales,Euphorbiaceae,ant,1.8100702472047678,1.7816884558941628,1.681136859280254,1.8100702472047678,NA,shrub,4,"NZ Flora Online:  bank, cliff, coast, hill, lowland, margin, open, roadside, rock outcrop, sand, shrubland, terrace, wasteland",NA,capsule,dry,"explosively dehiscent capsule, elaiosome, spiny capsule",0.2854,ballistic,ant,attachment,internal,NA,NA,Smith 1985; Pemberton & Irving 1990; Cronk & Fuller 1995; Martins et al. 2006,has no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988).,"Primarily dispersed ballistically, then by ants (Martins et al. 2006); mammal & bird dispersed by attachment (Cronk & Fuller 1995); rodents and granivorous birds may disperse some seeds (Smith 1985). Seed has an elaiosome (Pemberton & Irving 1990).",NA,NA,2022-06-08T00:00:00Z,NA,2022-06-23T00:00:00Z
2,Ricinus communis,Malpighiales,Euphorbiaceae,animal,2.9039895666836872,2.875607775373082,2.3943093274459066,2.9039895666836872,NA,shrub,4,"NZ Flora Online:  bank, cliff, coast, hill, lowland, margin, open, roadside, rock outcrop, sand, shrubland, terrace, wasteland",NA,capsule,dry,"explosively dehiscent capsule, elaiosome, spiny capsule",0.2854,ballistic,ant,attachment,internal,NA,NA,Smith 1985; Pemberton & Irving 1990; Cronk & Fuller 1995; Martins et al. 2006,has no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988).,"Primarily dispersed ballistically, then by ants (Martins et al. 2006); mammal & bird dispersed by attachment (Cronk & Fuller 1995); rodents and granivorous birds may disperse some seeds (Smith 1985). Seed has an elaiosome (Pemberton & Irving 1990).",NA,NA,2022-06-08T00:00:00Z,NA,2022-06-23T00:00:00Z
2,Acacia baileyana,Fabales,Fabaceae,ant,NA,2.0289119373150317,2.27521930491344,2.0289119373150317,shrub-tree,shrub,10,NZPCN: Waste places and scrubland,NA,pod with arillate seeds,fleshy,arillate seed,0.02181,ant,wind.none,NA,NA,NA,NA,Morgan et al. 2002; O'Dowd & Gill 1986; NZPCN,Seed dispersed a short distance form parent plant by wind and gravity (NZPCN),Seeds dispersed by ants in Australia and South Africa (Morgan et al. 2002); Animal; Diaspore is carried intentionally; Direct or experimental observation; (O'Dowd & Gill 1986); Ants.; Iridomyrmex sp.; Diaspore=seed. The seed has an aril or aril-like structure.,NA,NA,2022-06-02T00:00:00Z,45092,2022-06-19T00:00:00Z
