authority,species,synonym,common name,notes,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,syndrome1,syndrome2,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID,n_mech,n_synd,n_nonstd_mech
Polygala myrtifolia L.,Polygala myrtifolia,NA,sweet pea shrub,"shrub up to 2m high, strophiolate seed (Webb et al. 1988)",NA,shrub,2,"NZ Flora Online: bank, cliff, coast, dry, lowland, open, ridge, roadside, rock outcrop, sand, scrubland, shrubland, stone, terrace; NZPCN: Coastal areas, forest margins, open land, islands, inland scrub",NA,capsule,dry,arillate seed,0.00965,ant,NA,ant,wind.none,water,NA,NA,NA,Berg 1975; NZPCN,Seeds are dispersed by wind and sometimes water; the majority fall close to the parent plant (NZPCN),Ant dispersal based on morphology (Berg 1975),NA,NA,2022-06-08T00:00:00Z,45057,2023-05-11T00:00:00Z,3,1,2
Polypodium vulgare L.,Polypodium vulgare,NA,NA,NA,NA,NA,NA,NA,NA,NA,fern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Pomaderris aspera Sieber ex DC.,Pomaderris aspera,NA,hazel pomaderris,NA,NA,shrub,3,NA,NA,dehiscent capsule-like,fleshy,arillate seed,7.790000000000001e-4,ant,NA,ant,NA,NA,NA,NA,NA,Ashton 1979; Rice & Westoby 1981,NA,Seed of Pomaderris aspera was found in one artificial ant nest (Ashton 1979). Myrmecochorous (Rice & Westoby 1981).,NA,NA,2022-06-15T00:00:00Z,NA,2022-06-22T00:00:00Z,1,1,0
Populus alba L.,Populus alba,NA,white poplar,ETNZF says seeds not produced; capsule contains dense cottony hairs,NA,tree,25,"NZ Flora Online: bank, coast, gully, hill, margin, moist, open, riparian, roadside, sheltered, stone, wasteland",riparian,capsule,dry,none,3.2e-4,unspecialised,NA,wind.none,water,NA,NA,NA,NA,Gonzalez et al. 2010,NA,Wind and water dispersed seed (Gonzalez et al. 2010),dispersal based on morphology,NA,2022-06-08T00:00:00Z,NA,2022-06-22T00:00:00Z,2,1,2
Potamogeton crispus L.,Potamogeton crispus,NA,curled pondweed,"entirely submerged aquatic, peduncles above water 3–5 cm long; seed mass estimated from Fig. 3 in Xu et al. 2020",NA,herb,0.05,"NZ Flora Online: bank, coast, flat , gravel, gully, lowland, margin, moist, open, pasture, sand, shaded, sheltered, silt, slope, stone, terrace; NZPCN: Moderately fast flowing to still water bodies",riparian,achene,aquatic,none,0.0025,unspecialised,NA,internal,NA,NA,NA,NA,NA,Almeida et al. 2022,"Spread by seeds, stem fragments, rhizomes, or turions. Birds disperse seed, fragments, rhizomes and turions dispersed by contaminated machinery and water movement (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA))",seeds ingested by waterfowl (Almeida et al. 2022).,dispersal based on morphology,NA,2022-06-08T00:00:00Z,45057,NA,1,1,1
Prunus avium (L.) L.,Prunus avium,NA,sweet cherry,"tree, 5–12–(15) m high when mature",NA,tree,12,"NZ Flora Online: bank, cliff, coast, dry, forest, forest edge, gully, margin, open, pasture, roadside, rock outcrop, sheltered, shrubland, slope, track. NZPCN: Forest margins, roadsides, scrub, hedgerows",NA,drupe,fleshy,fleshy,0.18308000000000002,internal,NA,internal,NA,NA,NA,NA,NA,Burrows 1995; Atkinson 1997,bird dispersed (Burrows 1995; Atkinson 1997; Henderson unpubl. data),"Spain: intact seeds in carnivorous mammal faeces (Herrera 1989). Spain: intact seeds in hedgehog, polecat, marten, fox & badger droppings, fruits also eaten by 16 bird species including blackbird & thrush (Hernandez 2008). England: blackbird primary disperser, thrushes also swallow fruits & disperse seeds but have difficulty in plucking fruits, starling have great difficulty in swallowing fruit whole & usually peck at pulp (Snow & Snow 1988). Czechoslovakia: blackbird & song thrush most important dispersers (Snow & Snow 1988).",NA,NA,2022-06-08T00:00:00Z,45098,2023-06-21T00:00:00Z,1,1,0
Prunus campanulata Maxim.,Prunus campanulata,NA,Taiwan cherry,"small, spreading tree, 3–8 m high when mature",NA,tree,8,"NZ Flora Online: dry, gap, gravel, hill, loam, lowland, open, terrace",NA,drupe,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,Webb et al. 1988,"… seedlings and saplings sometimes appear spontaneously in and near gardens at some distance from the parent trees. Presumably, birds distribute the fruits (Webb et al. 1988)",NA,NA,NA,2022-06-08T00:00:00Z,NA,NA,1,1,0
Prunus domestica L.,Prunus domestica,Prunus xdomestica,plum,small tree up to  c. 6–(9) m high when mature,NA,tree,6,"NZ Flora Online: bank, dry, gravel, margin, montane, ridge, riparian, roadside, slope, stone, terrace, tussockland. NZPCN: Near human settlements, waste places and forest margins",riparian,drupe,fleshy,fleshy,0.70417,internal,NA,internal,NA,NA,NA,NA,NA,Gibb 1970; McEwen 1978,NA,Spain: intact seeds in carnivorous mammal faeces (Herrera 1989).,NA,NA,2022-06-08T00:00:00Z,45098,2023-06-21T00:00:00Z,1,1,0
Prunus laurocerasus L.,Prunus laurocerasus,NA,cherry laurel,"fruit diam. is mean. shrub or tree, up to  c. 10 m high when mature",shrub-tree,shrub,10,"NZ Flora Online: bank, clay, cliff, dry, forest, gully, hill, lowland, margin, moist, montane, open, ridge, riparian, roadside, rock outcrop, sand, scrubland, shaded, sheltered, silt, slope, stone, terrace, track. NZPCN: High rainfall or otherwise saturated soils (C. Ogle, pers. comm.). Found in plantations, around shelterbelts, roadsides, wastelands and in lowland areas (Webb et al., 1988). Relics of cultivation are very common in settled areas especially around old homesteads, domains and parks (Webb et al., 1988). Riverine forest (C. Ogle, pers. comm.). On an alluvial terraca (J. Barkle, pers. comm.).",riparian,drupe,fleshy,fleshy,0.26730000000000004,internal,NA,internal,NA,NA,NA,NA,NA,Ridley 1998; Spurr et al. 2011,bellbirds eat fruits (Spurr et al. 2011),NA,NA,NA,2022-06-08T00:00:00Z,45098,2023-06-21T00:00:00Z,1,1,0
Prunus lusitanica L.,Prunus lusitanica,NA,Portugese laurel,large shrub or small tree to c. 7 m high in wild,shrub-tree,shrub,7,"Webb et al. 1988: coastal forest, plantations, windbreaks, shrubberies",NA,drupe,fleshy,fleshy,0.04271,internal,NA,internal,NA,NA,NA,NA,NA,Webb et al. 1988,seeds are spread by birds (Webb et al. 1988),NA,NA,NA,NA,NA,2023-10-03T00:00:00Z,1,1,0
Prunus serotina Ehrh.,Prunus serotina,NA,wild black cherry,"not in Flora. medium-sized tree, up to 15 m high",NA,tree,15,NA,NA,drupe,fleshy,fleshy,0.0839,internal,NA,internal,NA,NA,NA,NA,NA,Deckers et al. 2008,NA,"dispersed mainly by blackbirds and pigeons, but also by other birds, in Belgium (Deckers et al. 2008)",NA,NA,2022-06-08T00:00:00Z,NA,2023-06-21T00:00:00Z,1,1,0
Prunus serrulata Lindl.,Prunus serrulata,NA,Japanese hill cherry,"fruit < 15 mm diam. tree, 4–12–(15) m high when mature",NA,tree,12,"NZ Flora Online: bank, coast, dry, gully, hill, margin, open, roadside, scrubland, shrubland, slope, unstable/eroded, wasteland",NA,drupe,fleshy,fleshy,0.05291,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988,bird dispersed (Esler 1988),NA,NA,NA,2022-06-08T00:00:00Z,NA,2023-06-21T00:00:00Z,1,1,0
Pseudosasa japonica (Siebold & Zucc. ex Steud.) Makino ex Nakai,Pseudosasa japonica,NA,arrow bamboo,"medium-sized, inflorescence 3-5m long; dispersal vegetative - No regeneration from seed so far has been reported, viable seed is uncommon (Edgar and Connor 2000)",NA,NA,5,"NZ Flora Online: bank, clay, cliff, coast, dry, flat , forest edge, gorge, gravel, gully, hill, lowland, margin, moist, open, pasture, peat, ridge, riparian, river terrace, roadside, rock outcrop, sand, scrubland, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, tree, wasteland; NZPCN: Roadsides, riverbanks, in or around plantations, especially near garden boundaries, in scrub and on forest margins, abandoned garden sites and waste places (Edgar and Connor 2000)",riparian,caryopsis,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rare,2022-06-08T00:00:00Z,45057,NA,0,0,NA
Pseudotsuga menziesii (Mirb.) Franco,Pseudotsuga menziesii,NA,Douglas fir,"large or very large tree; height from https://agpest.co.nz/?pesttypes=douglas-fir-douglas-pine, accessed 11/5/2023",NA,tree,60,"NZ Flora Online: bank, clay, dry, gravel, gully, hill, margin, roadside, sand, shaded, sheltered, slope, stone, terrace, track; NZPCN: A plant of lowland, montane and subalpine habitats growing in sites with low-moderate fertility (Timmins & MacKenzie 1995). A plant of scrub and forest margin communities, shrublands, tussockland and light wells in forest (Timmins & MacKenzie 1995).",NA,cone,dry,winged seed,0.0107,wind,NA,wind,NA,NA,NA,NA,NA,Timmins & Mackenzie 1995; SID,Seed is dispersed in autumn and winter by wind and gravity and remains viable for a few weeks to many years (NZPCN).,"P. menziesii subsp. menziesii: Wind; Diaspore is blown by wind; Direct or experimental observation; (Young & Young, 1992, Farmer, 1997, cited in Kew SID); Diaspore=seed. The diaspore has wings or wing-like features.",NA,NA,2022-06-08T00:00:00Z,45057,2022-06-22T00:00:00Z,1,1,0
Psidium cattleianum Afzel. ex Sabine,Psidium cattleianum,Psidium cattleyanum,purple guava,seeds numerous. Large shrub or small tree to 6 m high,shrub-tree,shrub,6,"NZ Flora Online: bank, dry, lowland, roadside, slope, stone",NA,berry-like,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,McEwen 1978; West 1996; Atkinson 1997; Karan 2000; Higgins et al. 2006; Spurr et al. 2011,"fruits eaten by sparrow, silvereye, blackbird & kereru; only kereru & blackbird capable of swallowing  fruits (blackbird only small fruits), but the small seeds could be ingested by silvereye & sparrow (Karan 2000). Fruits eaten by bellbirds (Spurr et al. 2011). Fruit eaten by kereru (Powlesland unpubl. data).",feral pigs & non-native birds disperse the seeds (Cronk & Fuller 1995). Vertebrates observed consuming fruits of Psidium spp. (Meisenburg & Fox 2002). Seeds ingested by silvereyes in Australia (Higgins et al. 2006).,NA,NA,2022-06-08T00:00:00Z,NA,NA,1,1,0
Psidium guajava L.,Psidium guajava,NA,yellow guava,produces fruit nearly all year (Cronk & Fuller 1995). Shrub or small tree to  c. 3 m high,shrub-tree,shrub,3,"NZ Flora Online: ridge, roadside, rock outcrop, slope",NA,berry-like,fleshy,fleshy,0.011710000000000002,internal,NA,internal,NA,NA,NA,NA,NA,West 1996; Atkinson 1997; Anderson et al. 2006; Almeida et al. 2025,bird-dispersed (Atkinson 1997). NZPCN: Bird dispersed (Lisa Forester 1996). Rats also eat the fruit but will destroy many of the seeds.,"dispersed by  mammals & birds, often introduced species  (Cronk & Fuller 1995). Vertebrates observed consuming fruits of Psidium spp. (Meisenburg & Fox 2002). Seeds ingested by waterfowl in North America (Almeida et al. 2025).",NA,NA,2022-06-08T00:00:00Z,45098,2023-06-21T00:00:00Z,1,1,0
Psoralea pinnata L.,Psoralea pinnata,NA,dally pine,"shrub to small tree, to c. 5m high",shrub-tree,shrub,5,"NZ Flora Online: bank, clay, coast, dry, flat , gravel, hill, lowland, margin, open, pasture, ridge, roadside, sand, shrubland, slope, stone, terrace, track, wasteland; NZPCN: Shrublands, especially dry slow growing shrublands, coastal areas, tracksides, road verges, dry gullies, and forest margins.",NA,pod,dry,none,0.00698,unspecialised,NA,water,NA,NA,NA,NA,NA,Esler 1988; Stirton et al. 2015,has no structures directly aiding active dispersal and large seeds (>10 mg) (Esler 1988).,"In Australia, P. pinnata reproduces mainly by seed (shed copiously locally then secondarily dispersed by water) (Stirton et al. 2015); P. cinerea: Unassisted; Seeds drop to the ground close to or beneath the parent plant; Assumption based upon diaspore morphology; (Jurado et al., 1991)",NA,NA,2022-06-08T00:00:00Z,45057,2022-06-22T00:00:00Z,1,1,1
Pteris cretica L.,Pteris cretica,NA,NA,NA,NA,NA,NA,NA,NA,NA,fern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Pueraria montana (Lour.) Merr.,Pueraria montana,Pueraria lobata; Pueraria montana var. lobata,kudzu,"not in Flora; Weedbusters website 16 June 2022: hard oval seeds in flattened, hairy, brown, bean-like pods, Spreads by seed but mostly by vegetative growth; in SID as Pueraria montana var. lobata.",vine,shrub,NA,"Weedbusters: Forest, forest edges, riparian zones, scrub, shrubland, plantations, roadsides and urban areas.",riparian,pod,dry,none,0.012320000000000001,unspecialised,NA,internal,NA,NA,NA,NA,NA,Boyda 2013; Aurambout & Endress 2018,NA,"seed dispersal behavior of kudzu is still not clear (Harron et al. 2020); Aurambout & Endress 2018: The importance of seed dispersal in the spread of kudzu is not clear and while some sources report kudzu seeds disperse less than six meters from the mother plant (Hipps, 1994, Pappert et al., 2000), others note potential dispersal across moderate distance via mammals and birds (EPPO, 2007). Anecdotal evidence indicates kudzu seedlings have been found hundreds of meters away from known source populations, suggesting possible seed dispersal (Boyda, 2013).",attachment or internal,NA,2022-06-16T00:00:00Z,NA,2022-06-22T00:00:00Z,1,1,1
Pultenaea daphnoides J.C.Wendl.,Pultenaea daphnoides,NA,pultenaea,shrub up to 2m high,NA,shrub,2,NA,NA,pod,dry,elaiosome,0.004200000000000001,ant,NA,ant,NA,NA,NA,NA,NA,Berg 1975; O'Dowd & Gill 1986,NA,Animal; Diaspore is carried intentionally; Direct or experimental observation; (O'Dowd & Gill 1986); Ants.; Diaspore=seed. The seed has an elaiosome. Probably myrmecochorous (Berg 1975),NA,NA,2022-06-08T00:00:00Z,NA,2022-06-22T00:00:00Z,1,1,0
Pyracantha angustifolia (Franch.) C.K.Schneid.,Pyracantha angustifolia,NA,orange firethorn,shrub up to 2.5–(5) m high,NA,shrub,2.5,"NZ Flora Online: bank, clay, cliff, coast, dry, hill, loam, lowland, margin, open, pasture, roadside, rock outcrop, sand, shrubland, slope, stone, terrace, tree, wasteland",NA,pome-like,fleshy,fleshy,0.04908,internal,NA,internal,NA,NA,NA,NA,NA,Gibb 2000,"""Pyracantha sp."" dispersed by silvereyes, ""Pyracanthus"" dispersed by blackbirds (Gibb 2000)",NA,NA,NA,2022-06-08T00:00:00Z,NA,2023-06-21T00:00:00Z,1,1,0
Quercus robur L.,Quercus robur,NA,English oak,"large tree, to c. 30m tall in cultivation",NA,tree,30,NA,NA,acorn,dry,edible fruit,3.378,scatterhoarding,NA,scatterhoarding,internal,NA,NA,NA,NA,Almeida et al. 2022; SID,NA,"Animal; Diaspore is carried intentionally; Method not stated; (Bouman et al. 2000, cited in Kew SID). seeds ingested by waterfowl (Almeida et al. 2022).",scatterhoarding? (possibly rats in NZ?),NA,2022-06-08T00:00:00Z,NA,2022-06-23T00:00:00Z,2,1,1
Reynoutria ×bohemica (Chrtek & Chrtková) J.P.Bailey,Reynoutria xbohemica,Fallopia ×bohemica,giant knotweed,"hybrid of Reynoutria japonica and R. sachalinensis; herbaceous or shrubby plant growing up to 4m tall, seeds (2-4 mm long) are enclosed in a three-winged fruit; Weedbusters (Fallopia sachalinensis): no seed is produced in NZ (accessed 11/5/2023)",NA,shrub,4,"NZ Flora Online: bank, gravel, roadside",NA,nut,dry,winged fruit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Reynoutria japonica Houtt.,Reynoutria japonica,"Fallopia japonica, Polygonum cuspidatum",Asiatic knotweed; Japanese knotweed,Valves of fr. 7–11 mm long (including broad wing); shrub-like herb,NA,shrub,2,NA,NA,nut,dry,winged fruit,0.002065,wind,NA,wind,NA,NA,NA,NA,NA,Maruta 1976,valves of fruit have broad wing (Webb et al. 1988),seeds abundantly blown by wind (Maruta 1976); Ecological Flora of the Bristish Isles: unspecialised,NA,NA,2022-06-08T00:00:00Z,NA,2022-06-23T00:00:00Z,1,1,0
Reynoutria sachalinensis (F.Schmidt) Nakai,Reynoutria sachalinensis,Fallopia sachalinensis,giant knotweed,"fruit valves prominantly winged, nut not seen; does not produce mature fruit in NZ (Webb et al. 1988)",NA,NA,NA,NA,NA,nut,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Rhamnus alaternus L.,Rhamnus alaternus,NA,evergreen buckthorn,shrub to  c. 5 m high,NA,shrub,5,"NZ Flora Online: bank, clay, cliff, coast, dry, gap, gravel, gully, hill, lava, lowland, margin, open, pasture, ridge, roadside, rock outcrop, sand, scrubland, shaded, sheltered, shrubland, slope, stone, terrace, track, wasteland. NZPCN: A plant of coastal and lowland habitats, grows in sites with low - low/moderate fertility. Invades scrub, forest margin, tall forest, low forest, shrubland, fernland, cliff and bare rock and river verge communities.",riparian,drupe,fleshy,fleshy,0.009529999999999999,internal,NA,internal,NA,NA,NA,NA,NA,Timmins & Mackenzie 1995; Atkinson 1997,"birds such as myna, blackbird, thrush, starling spread seed (Timmins & Mackenzie 1995). Bird-dispersed (Atkinson 1997).",NA,NA,NA,2022-06-08T00:00:00Z,45098,2023-06-21T00:00:00Z,1,1,0
Rhaphiolepis bibas (Lour.) Galasso & Banfi,Rhaphiolepis bibas,Eriobotrya japonica,loquat,tree up to 8 m high,NA,tree,8,"NZ Flora Online:  bank, clay, dry, gap, gully, hill, loam, lowland, margin, moist, roadside, sand, shaded, sheltered, shrubland, silt, slope, stone, terrace, wasteland",NA,pome,fleshy,fleshy,1.4468800000000002,internal,NA,internal,NA,NA,NA,NA,NA,Fromont & King 1992; Karan 2000,"Loquat is known to be eaten by pigeons…and may be spread into light forest by this vector (Fromont & King 1992); visited by kereru, blackbird, sparrow (main visitor in Auckland), silvereye, rosella, myna & starling - only kereru capable of swallowing fruits (Karan 2000).",NA,NA,NA,2022-06-07T00:00:00Z,NA,2023-06-16T00:00:00Z,1,1,0
Rhaphiolepis umbellata (Thunb.) Makino,Rhaphiolepis umbellata,Rhaphiolepis indica,sexton's bride,NZPCN website 16 June 2022: shrub,NA,shrub,NA,NA,NA,pome,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,Corlett 1996,NA,"Animal; Diaspore is eaten intentionally; Direct or experimental observation; (Corlett, 1996); Birds.; Diaspore=fruit. Fruit is fleshy.",NA,NA,NA,44728,2022-06-21T00:00:00Z,1,1,0
Rhododendron ponticum L.,Rhododendron ponticum,NA,rhododendron,capsule persists for up to 3 yrs (Cronk & Fuller 1995),NA,shrub,6,"NZ Flora Online: bank, clay, dry, fernland, forest, forest edge, hill, lowland, margin, moist, open, ridge, roadside, sand, shaded, sheltered, shrubland, slope, stone",NA,capsule,dry,none,1e-4,unspecialised,NA,wind.none,NA,NA,NA,NA,"97.1% of seeds found up to 10m  from release point, 0.1% of seeds dispersed to at least 100m (Stephenson et al. 2007)",Cronk & Fuller 1995; Stephenson et al. 2007; Harris et al. 2009; SID,NA,"small, light seeds dispersed efficiently by wind (Cronk & Fuller 1995); Seeds dispersed primarily by wind (Stephenson et al. 2007; Harris et al. 2009); Wind; Diaspore is blown by wind; Method not stated; (Ridley, 1930, cited in SID); Diaspore=seed. The diaspore is hairy or has hair-like processes.",dispersal based on morphology,NA,2022-06-08T00:00:00Z,NA,2022-06-23T00:00:00Z,1,1,1
Ribes sanguineum Pursh,Ribes sanguineum,NA,flowering currant,"shrub, 1–2–(3) m high",NA,shrub,2,"NZ Flora Online: bank, grassland, hill, margin, open, pasture, ridge, roadside, shrubland, slope",NA,berry,fleshy,fleshy,0.00172,internal,NA,internal,NA,NA,NA,NA,NA,Burrows 1994,NA,NA,NA,NA,2022-06-08T00:00:00Z,NA,2023-06-21T00:00:00Z,1,1,0
Ribes uva-crispa L.,Ribes uva-crispa,NA,gooseberry,shrub usually 0.5–1.5–(2.5) m high,NA,shrub,1.5,"NZ Flora Online:  bank, forest, gap, hill, lake margin, margin, river terrace, sand, shaded, sheltered, shrubland, silt, stone, terrace. NZPCN: Grass and scrub covered areas, rocky outcrops and forest margins",riparian,berry,fleshy,fleshy,0.00333,internal,NA,internal,NA,NA,NA,NA,NA,Snow & Snow 1988,NA,England: fruits eaten by blackbird. Fruit removal rates very rapid but few observations of bird feeding (Snow & Snow 1988).,NA,NA,2022-06-08T00:00:00Z,45098,2023-06-21T00:00:00Z,1,1,0
Ricinus communis L.,Ricinus communis,NA,castor oil plant,fruits all year round under favourable conditions (Cronk & Fuller 1995),NA,shrub,4,"NZ Flora Online:  bank, cliff, coast, hill, lowland, margin, open, roadside, rock outcrop, sand, shrubland, terrace, wasteland",NA,capsule,dry,"explosively dehiscent capsule, elaiosome, spiny capsule",0.2854,ballistic,ant,ballistic,ant,attachment,internal,NA,NA,Smith 1985; Pemberton & Irving 1990; Cronk & Fuller 1995; Martins et al. 2006,has no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988).,"Primarily dispersed ballistically, then by ants (Martins et al. 2006); mammal & bird dispersed by attachment (Cronk & Fuller 1995); rodents and granivorous birds may disperse some seeds (Smith 1985). Seed has an elaiosome (Pemberton & Irving 1990).",NA,NA,2022-06-08T00:00:00Z,NA,2022-06-23T00:00:00Z,4,2,3
Robinia pseudoacacia L.,Robinia pseudoacacia,NA,false acacia,NA,NA,tree,25,"NZ Flora Online: bank, coast, dry, hill, lowland, margin, moist, open, riparian, river terrace, roadside, sand, shaded, sheltered, silt, slope, stone, terrace, wasteland",riparian,pod,dry,none,0.0192,unspecialised,NA,water,wind.none,NA,NA,NA,seeds dispersed up to 67 m from nearest adult (Morimoto et al. 2009),Esler 1988; Morimoto et al. 2010; SID,has no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988).,"Unassisted; Seeds drop to the ground close to or beneath the parent plant; Method not stated; (Young & Young, 1992); Diaspore=seed; seeds are dispersed beneath reproductive trees, while seeds in pods are able to be dispersed far from the reproductive trees by flowing water (Ridley 1930, cited in Morimoto et al. 2010). Most seeds were dispersed as pods, seeds dispersed by wind and streams (Morimoto et al. 2010).",NA,NA,2022-06-08T00:00:00Z,NA,2022-06-23T00:00:00Z,2,1,2
Roldana petasitis (Sims) H.Rob. & Brettell,Roldana petasitis,NA,velvet groundsel,up to  c. 1–(2) m tall,NA,shrub,1,"NZ Flora Online: bank, hill, roadside",NA,achene,dry,pappus,NA,wind,NA,wind,NA,NA,NA,NA,NA,NZPCN,wind borne seeds (NZPCN),NA,NA,NA,2022-06-08T00:00:00Z,45058,NA,1,1,0
Rosa rubiginosa L.,Rosa rubiginosa,NA,sweet brier,shrub 1–3–(5) m high,NA,shrub,3,"NZ Flora Online:  bank, clay, dry, grassland, gravel, hill, open, pasture, river terrace, roadside, rock outcrop, sand, shaded, sheltered, shrubland, slope, stone, terrace, track. NZPCN: A plant of lowland habitats and sites with high fertility. A plant of tussock land, open sites, river flats, banks and terraces and stream sides. A plant of open, well-drained sites on roadsides, stabilised scree, steep open slopes and lakesides from s.l. to about 1000m a.s.l. The plant is often the dominant woody species, in habitats where it occurs and nearly always grows where other woody plants are rather sparse or absent. Areas at risk form the plant are pasture, low and disturbed forest, gullies and roadsides.",riparian,hip,fleshy,fleshy,0.015560000000000001,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988; Timmins & Mackenzie 1995; Higgins et al. 2006; Rouco & Norbury 2013; NZPCN,dispersed by birds (Esler 1988); seeds in possum droppings (Rouco & Norbury 2013). The plant has a high seed output which is dispersed by birds and domestic stock (NZPCN). Fruits eaten by silvereyes in Australia (Higgins et al. 2006).,Spain: intact seeds of Rosa canina in carnivorous mammal faeces (Herrera 1989).,NA,NA,2022-06-08T00:00:00Z,45098,2023-06-21T00:00:00Z,1,1,0
Rubus armeniacus Focke,Rubus armeniacus,Rubus procerus,Armenian blackberry,Not in NZ Flora Online or NZPCN website. Clayson's notes: the name R. procerus was erroneously applied to NZ material. Used description from R. procerus in Flora.,NA,shrub,NA,"Flora: roadsides, waste places, scrub, forest margins, streamsides",riparian,fleshy aggregate of 1-seeded druplets,fleshy,fleshy,0.00342,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988,Rubus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).,Rubus sp. dispersed by water birds via both endo- and ectozoochory (Reynolds & Cumming 2016),NA,NA,NA,NA,2023-06-21T00:00:00Z,1,1,0
Rubus cardiophyllus P.J.Müll. & Lefèvre,Rubus cardiophyllus,NA,blackberry,NA,NA,shrub,NA,"Flora: streamsides, riverflats, waste places, scrub",riparian,fleshy aggregate of 1-seeded druplets,fleshy,fleshy,0.0030600000000000002,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988,Rubus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).,Rubus sp. dispersed by water birds via both endo- and ectozoochory (Reynolds & Cumming 2016),NA,NA,2023-06-21T00:00:00Z,NA,2023-06-21T00:00:00Z,1,1,0
Rubus cissburiensis W.P.C.Barton & Ridd.,Rubus cissburiensis,NA,blackberry,NA,NA,shrub,NA,"Flora: roadsides, forest and scrub margins, riverbanks",riparian,fleshy aggregate of 1-seeded druplets,fleshy,fleshy,0.00209,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988,Rubus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).,Rubus sp. dispersed by water birds via both endo- and ectozoochory (Reynolds & Cumming 2016),NA,NA,2023-06-21T00:00:00Z,NA,2023-06-21T00:00:00Z,1,1,0
Rubus echinatus Lindl.,Rubus echinatus,NA,blackberry,NA,NA,shrub,NA,"Flora: wasteland, roadsides, river banks and flats, forest margins and clearings, scrub up to c. 800 m.",riparian,fleshy aggregate of 1-seeded druplets,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988,Rubus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).,Rubus sp. dispersed by water birds via both endo- and ectozoochory (Reynolds & Cumming 2016),NA,NA,2023-06-21T00:00:00Z,NA,2023-06-21T00:00:00Z,1,1,0
Rubus laciniatus Willd.,Rubus laciniatus,NA,cut-leaved blackberry,NA,NA,shrub,NA,"Flora: roadsides, scrub, fernland, riverbanks, neglected pasture, up to 600 m.",riparian,fleshy aggregate of 1-seeded druplets,fleshy,fleshy,0.00379,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988,Rubus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).,Rubus laciniatus seed dispersed by mammals and birds (Kew SID). Rubus sp. dispersed by water birds via both endo- and ectozoochory (Reynolds & Cumming 2016),NA,NA,2022-06-08T00:00:00Z,NA,2023-06-21T00:00:00Z,1,1,0
Rubus leptothyrsos G.Braun,Rubus leptothyrsos,NA,blackberry,NA,NA,shrub,NA,"Flora: steep banks, roadsides, scrub, forest margins, river terraces",riparian,fleshy aggregate of 1-seeded druplets,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988,Rubus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).,Rubus sp. dispersed by water birds via both endo- and ectozoochory (Reynolds & Cumming 2016),NA,NA,2023-06-21T00:00:00Z,NA,NA,1,1,0
